DR: 0.787444(50), 0.575407(all), eps: 0.200000
DR: 0.711725(50), 0.576137(all), eps: 0.200000
DR: 0.774458(50), 0.577419(all), eps: 0.200000
DR: 0.591259(50), 0.577493(all), eps: 0.200000
DR: 0.589116(50), 0.577734(all), eps: 0.200000
DR: 0.631817(50), 0.578018(all), eps: 0.200000
DR: 0.583030(50), 0.578153(all), eps: 0.200000
DR: 0.720838(50), 0.578892(all), eps: 0.200000
DR: 0.421174(50), 0.578296(all), eps: 0.200000
DR: 0.494012(50), 0.577864(all), eps: 0.200000
DR: 0.688409(50), 0.578629(all), eps: 0.200000
DR: 0.654306(50), 0.579013(all), eps: 0.200000
DR: 0.720196(50), 0.579938(all), eps: 0.200000
DR: 0.531189(50), 0.579693(all), eps: 0.200000
DR: 0.742328(50), 0.580615(all), eps: 0.200000
DR: 0.763300(50), 0.581523(all), eps: 0.200000
DR: 0.679293(50), 0.582212(all), eps: 0.200000
DR: 0.744566(50), 0.583010(all), eps: 0.200000
DR: 0.694721(50), 0.583740(all), eps: 0.200000
DR: 0.693662(50), 0.584274(all), eps: 0.200000
DR: 0.703873(50), 0.585054(all), eps: 0.200000
DR: 0.702098(50), 0.585618(all), eps: 0.200000
DR: 0.634983(50), 0.586053(all), eps: 0.200000
DR: 0.695797(50), 0.586577(all), eps: 0.200000
DR: 0.691108(50), 0.587257(all), eps: 0.200000
DR: 0.708762(50), 0.587831(all), eps: 0.200000
DR: 0.744733(50), 0.588717(all), eps: 0.200000
DR: 0.760610(50), 0.589520(all), eps: 0.200000
DR: 0.739189(50), 0.590407(all), eps: 0.200000
DR: 0.720705(50), 0.591010(all), eps: 0.200000
DR: 0.799745(50), 0.592160(all), eps: 0.200000
DR: 0.685414(50), 0.592588(all), eps: 0.200000
DR: 0.818737(50), 0.593805(all), eps: 0.200000
DR: 0.797930(50), 0.594732(all), eps: 0.200000
DR: 0.801294(50), 0.595730(all), eps: 0.200000
DR: 0.788190(50), 0.596596(all), eps: 0.200000
DR: 0.881920(50), 0.597906(all), eps: 0.200000
