DR: 0.464120(50), 0.333782(all), eps: 0.200000
DR: 0.475897(50), 0.334647(all), eps: 0.200000
DR: 0.433434(50), 0.335138(all), eps: 0.200000
DR: 0.421815(50), 0.335763(all), eps: 0.200000
DR: 0.423251(50), 0.336193(all), eps: 0.200000
DR: 0.456194(50), 0.336930(all), eps: 0.200000
DR: 0.442901(50), 0.337446(all), eps: 0.200000
DR: 0.456454(50), 0.338012(all), eps: 0.200000
DR: 0.470548(50), 0.338650(all), eps: 0.200000
DR: 0.414089(50), 0.339251(all), eps: 0.200000
DR: 0.478537(50), 0.339915(all), eps: 0.200000
DR: 0.466564(50), 0.340653(all), eps: 0.200000
DR: 0.461280(50), 0.341222(all), eps: 0.200000
DR: 0.409447(50), 0.341630(all), eps: 0.200000
DR: 0.415655(50), 0.341976(all), eps: 0.200000
DR: 0.501195(50), 0.342889(all), eps: 0.200000
DR: 0.568845(50), 0.343935(all), eps: 0.200000
DR: 0.441861(50), 0.344675(all), eps: 0.200000
DR: 0.389982(50), 0.344883(all), eps: 0.200000
DR: 0.446024(50), 0.345412(all), eps: 0.200000
DR: 0.487521(50), 0.346058(all), eps: 0.200000
DR: 0.641881(50), 0.347645(all), eps: 0.200000
DR: 0.585903(50), 0.348717(all), eps: 0.200000
DR: 0.634348(50), 0.350225(all), eps: 0.200000
DR: 0.702842(50), 0.351796(all), eps: 0.200000
DR: 0.618291(50), 0.353083(all), eps: 0.200000
DR: 0.633882(50), 0.354323(all), eps: 0.200000
DR: 0.711701(50), 0.356083(all), eps: 0.200000
DR: 0.620724(50), 0.357240(all), eps: 0.200000
DR: 0.588762(50), 0.358528(all), eps: 0.200000
DR: 0.629464(50), 0.359702(all), eps: 0.200000
DR: 0.641336(50), 0.361064(all), eps: 0.200000
DR: 0.683495(50), 0.362449(all), eps: 0.200000
DR: 0.710733(50), 0.364119(all), eps: 0.200000
DR: 0.664840(50), 0.365399(all), eps: 0.200000
DR: 0.643514(50), 0.366683(all), eps: 0.200000
DR: 0.680199(50), 0.368006(all), eps: 0.200000
DR: 0.748848(50), 0.369708(all), eps: 0.200000
DR: 0.666015(50), 0.370947(all), eps: 0.200000
DR: 0.582301(50), 0.371918(all), eps: 0.200000
DR: 0.666383(50), 0.373139(all), eps: 0.200000
DR: 0.539639(50), 0.374002(all), eps: 0.200000
DR: 0.651290(50), 0.375142(all), eps: 0.200000
DR: 0.725132(50), 0.376666(all), eps: 0.200000
DR: 0.623299(50), 0.377670(all), eps: 0.200000
DR: 0.656071(50), 0.378971(all), eps: 0.200000
DR: 0.568486(50), 0.379737(all), eps: 0.200000
DR: 0.579574(50), 0.380549(all), eps: 0.200000
DR: 0.557717(50), 0.381258(all), eps: 0.200000
DR: 0.703860(50), 0.382675(all), eps: 0.200000
DR: 0.572289(50), 0.383429(all), eps: 0.200000
DR: 0.614793(50), 0.384509(all), eps: 0.200000
DR: 0.695666(50), 0.385734(all), eps: 0.200000
DR: 0.513650(50), 0.386363(all), eps: 0.200000
DR: 0.683677(50), 0.387524(all), eps: 0.200000
DR: 0.633162(50), 0.388526(all), eps: 0.200000
DR: 0.696661(50), 0.389720(all), eps: 0.200000
DR: 0.685211(50), 0.391063(all), eps: 0.200000
DR: 0.641022(50), 0.392024(all), eps: 0.200000
DR: 0.693612(50), 0.393325(all), eps: 0.200000
DR: 0.675186(50), 0.394400(all), eps: 0.200000
DR: 0.597205(50), 0.395282(all), eps: 0.200000
DR: 0.587506(50), 0.396009(all), eps: 0.200000
DR: 0.697881(50), 0.397300(all), eps: 0.200000
DR: 0.756263(50), 0.398647(all), eps: 0.200000
DR: 0.597075(50), 0.399614(all), eps: 0.200000
DR: 0.618330(50), 0.400428(all), eps: 0.200000
DR: 0.666846(50), 0.401514(all), eps: 0.200000
DR: 0.612650(50), 0.402294(all), eps: 0.200000
DR: 0.634479(50), 0.403351(all), eps: 0.200000
DR: 0.524105(50), 0.403794(all), eps: 0.200000
DR: 0.677622(50), 0.404826(all), eps: 0.200000
DR: 0.627955(50), 0.405638(all), eps: 0.200000
DR: 0.619097(50), 0.406627(all), eps: 0.200000
DR: 0.641529(50), 0.407475(all), eps: 0.200000
DR: 0.571306(50), 0.408066(all), eps: 0.200000
DR: 0.626132(50), 0.408847(all), eps: 0.200000
DR: 0.698701(50), 0.409950(all), eps: 0.200000
DR: 0.589377(50), 0.410588(all), eps: 0.200000
DR: 0.662464(50), 0.411596(all), eps: 0.200000
DR: 0.603181(50), 0.412272(all), eps: 0.200000
DR: 0.694312(50), 0.413460(all), eps: 0.200000
DR: 0.624831(50), 0.414201(all), eps: 0.200000
DR: 0.654604(50), 0.415245(all), eps: 0.200000
DR: 0.773757(50), 0.416492(all), eps: 0.200000
DR: 0.601332(50), 0.417261(all), eps: 0.200000
DR: 0.718156(50), 0.418301(all), eps: 0.200000
DR: 0.698264(50), 0.419308(all), eps: 0.200000
DR: 0.639731(50), 0.420064(all), eps: 0.200000
DR: 0.683217(50), 0.421161(all), eps: 0.200000
DR: 0.680214(50), 0.422043(all), eps: 0.200000
DR: 0.631513(50), 0.422878(all), eps: 0.200000
DR: 0.595543(50), 0.423461(all), eps: 0.200000
DR: 0.623941(50), 0.424276(all), eps: 0.200000
DR: 0.582848(50), 0.424808(all), eps: 0.200000
DR: 0.696154(50), 0.425900(all), eps: 0.200000
DR: 0.649633(50), 0.426646(all), eps: 0.200000
DR: 0.652002(50), 0.427537(all), eps: 0.200000
DR: 0.656919(50), 0.428296(all), eps: 0.200000
DR: 0.629833(50), 0.429022(all), eps: 0.200000
DR: 0.678250(50), 0.429841(all), eps: 0.200000
DR: 0.612773(50), 0.430602(all), eps: 0.200000
DR: 0.579143(50), 0.431087(all), eps: 0.200000
DR: 0.684035(50), 0.432040(all), eps: 0.200000
DR: 0.606041(50), 0.432604(all), eps: 0.200000
DR: 0.560699(50), 0.433085(all), eps: 0.200000
DR: 0.776126(50), 0.434189(all), eps: 0.200000
DR: 0.642035(50), 0.434928(all), eps: 0.200000
DR: 0.766473(50), 0.435988(all), eps: 0.200000
